Player,Team,Match,Over,Span⬇,Mat,Inns,Runs,BF,RR,Wkts,Ave,BpD,Dot%,Bnd%
YB Jaiswal,RR,"Gujarat Titans v Rajasthan Royals at Kolkata, Tata IPL, 24 May 2022",2,2022-2022,1,1,2,6,2,1,2,6,83.3,0
JC Buttler,RR,"Gujarat Titans v Rajasthan Royals at Kolkata, Tata IPL, 24 May 2022",1,2022-2022,1,1,8,4,12,0,-,-,50,50
YB Jaiswal,RR,"Gujarat Titans v Rajasthan Royals at Kolkata, Tata IPL, 24 May 2022",1,2022-2022,1,1,1,2,3,0,-,-,50,0
PN Mankad,PBKS,"Punjab Kings v Sunrisers Hyderabad at Mumbai, Tata IPL, 22 May 2022",16,2022-2022,1,1,4,1,24,0,-,-,0,100
LS Livingstone,PBKS,"Punjab Kings v Sunrisers Hyderabad at Mumbai, Tata IPL, 22 May 2022",15,2022-2022,1,1,22,6,22,0,-,-,16.6,66.66
JM Sharma,PBKS,"Punjab Kings v Sunrisers Hyderabad at Mumbai, Tata IPL, 22 May 2022",14,2022-2022,1,1,11,4,16.5,1,11,4,25,50
LS Livingstone,PBKS,"Punjab Kings v Sunrisers Hyderabad at Mumbai, Tata IPL, 22 May 2022",14,2022-2022,1,1,2,2,6,0,-,-,0,0
JM Sharma,PBKS,"Punjab Kings v Sunrisers Hyderabad at Mumbai, Tata IPL, 22 May 2022",13,2022-2022,1,1,8,3,16,0,-,-,33.3,66.66
LS Livingstone,PBKS,"Punjab Kings v Sunrisers Hyderabad at Mumbai, Tata IPL, 22 May 2022",13,2022-2022,1,1,1,1,6,0,-,-,0,0
S Dhawan,PBKS,"Punjab Kings v Sunrisers Hyderabad at Mumbai, Tata IPL, 22 May 2022",13,2022-2022,1,1,1,2,3,1,1,2,50,0
LS Livingstone,PBKS,"Punjab Kings v Sunrisers Hyderabad at Mumbai, Tata IPL, 22 May 2022",12,2022-2022,1,1,0,3,0,0,-,-,100,0
S Dhawan,PBKS,"Punjab Kings v Sunrisers Hyderabad at Mumbai, Tata IPL, 22 May 2022",12,2022-2022,1,1,4,3,8,0,-,-,66.6,33.33
S Dhawan,PBKS,"Punjab Kings v Sunrisers Hyderabad at Mumbai, Tata IPL, 22 May 2022",11,2022-2022,1,1,3,3,6,0,-,-,0,0
LS Livingstone,PBKS,"Punjab Kings v Sunrisers Hyderabad at Mumbai, Tata IPL, 22 May 2022",11,2022-2022,1,1,3,3,6,0,-,-,0,0
LS Livingstone,PBKS,"Punjab Kings v Sunrisers Hyderabad at Mumbai, Tata IPL, 22 May 2022",10,2022-2022,1,1,2,2,6,0,-,-,0,0
S Dhawan,PBKS,"Punjab Kings v Sunrisers Hyderabad at Mumbai, Tata IPL, 22 May 2022",10,2022-2022,1,1,2,4,3,0,-,-,50,0
LS Livingstone,PBKS,"Punjab Kings v Sunrisers Hyderabad at Mumbai, Tata IPL, 22 May 2022",9,2022-2022,1,1,13,4,19.5,0,-,-,25,50
S Dhawan,PBKS,"Punjab Kings v Sunrisers Hyderabad at Mumbai, Tata IPL, 22 May 2022",9,2022-2022,1,1,2,2,6,0,-,-,0,0
LS Livingstone,PBKS,"Punjab Kings v Sunrisers Hyderabad at Mumbai, Tata IPL, 22 May 2022",8,2022-2022,1,1,6,1,36,0,-,-,0,100
MA Agarwal,PBKS,"Punjab Kings v Sunrisers Hyderabad at Mumbai, Tata IPL, 22 May 2022",8,2022-2022,1,1,1,3,2,1,1,3,66.6,0
S Dhawan,PBKS,"Punjab Kings v Sunrisers Hyderabad at Mumbai, Tata IPL, 22 May 2022",8,2022-2022,1,1,2,2,6,0,-,-,0,0
S Dhawan,PBKS,"Punjab Kings v Sunrisers Hyderabad at Mumbai, Tata IPL, 22 May 2022",7,2022-2022,1,1,1,2,3,0,-,-,50,0
MA Agarwal,PBKS,"Punjab Kings v Sunrisers Hyderabad at Mumbai, Tata IPL, 22 May 2022",7,2022-2022,1,1,0,1,0,0,-,-,100,0
M Shahrukh Khan,PBKS,"Punjab Kings v Sunrisers Hyderabad at Mumbai, Tata IPL, 22 May 2022",7,2022-2022,1,1,4,3,8,1,4,3,66.6,33.33
S Dhawan,PBKS,"Punjab Kings v Sunrisers Hyderabad at Mumbai, Tata IPL, 22 May 2022",6,2022-2022,1,1,13,4,19.5,0,-,-,25,50
M Shahrukh Khan,PBKS,"Punjab Kings v Sunrisers Hyderabad at Mumbai, Tata IPL, 22 May 2022",6,2022-2022,1,1,2,2,6,0,-,-,0,0
S Dhawan,PBKS,"Punjab Kings v Sunrisers Hyderabad at Mumbai, Tata IPL, 22 May 2022",5,2022-2022,1,1,4,4,6,0,-,-,75,25
M Shahrukh Khan,PBKS,"Punjab Kings v Sunrisers Hyderabad at Mumbai, Tata IPL, 22 May 2022",5,2022-2022,1,1,5,2,15,0,-,-,0,50
M Shahrukh Khan,PBKS,"Punjab Kings v Sunrisers Hyderabad at Mumbai, Tata IPL, 22 May 2022",4,2022-2022,1,1,8,3,16,0,-,-,0,33.33
S Dhawan,PBKS,"Punjab Kings v Sunrisers Hyderabad at Mumbai, Tata IPL, 22 May 2022",4,2022-2022,1,1,2,3,4,0,-,-,33.3,0
S Dhawan,PBKS,"Punjab Kings v Sunrisers Hyderabad at Mumbai, Tata IPL, 22 May 2022",3,2022-2022,1,1,4,2,12,0,-,-,0,0
JM Bairstow,PBKS,"Punjab Kings v Sunrisers Hyderabad at Mumbai, Tata IPL, 22 May 2022",3,2022-2022,1,1,2,4,3,1,2,4,50,0
JM Bairstow,PBKS,"Punjab Kings v Sunrisers Hyderabad at Mumbai, Tata IPL, 22 May 2022",2,2022-2022,1,1,9,5,10.8,0,-,-,40,40
S Dhawan,PBKS,"Punjab Kings v Sunrisers Hyderabad at Mumbai, Tata IPL, 22 May 2022",2,2022-2022,1,1,1,1,6,0,-,-,0,0
JM Bairstow,PBKS,"Punjab Kings v Sunrisers Hyderabad at Mumbai, Tata IPL, 22 May 2022",1,2022-2022,1,1,12,6,12,0,-,-,50,50
Umran Malik,SRH,"Punjab Kings v Sunrisers Hyderabad at Mumbai, Tata IPL, 22 May 2022",20,2022-2022,1,1,0,1,0,0,-,-,100,0
Bhuvneshwar Kumar,SRH,"Punjab Kings v Sunrisers Hyderabad at Mumbai, Tata IPL, 22 May 2022",20,2022-2022,1,1,1,1,6,0,-,-,0,0
J Suchith,SRH,"Punjab Kings v Sunrisers Hyderabad at Mumbai, Tata IPL, 22 May 2022",20,2022-2022,1,1,0,1,0,1,0,1,100,0
MS Washington Sundar,SRH,"Punjab Kings v Sunrisers Hyderabad at Mumbai, Tata IPL, 22 May 2022",20,2022-2022,1,1,0,1,0,1,0,1,100,0
R Shepherd,SRH,"Punjab Kings v Sunrisers Hyderabad at Mumbai, Tata IPL, 22 May 2022",20,2022-2022,1,1,7,3,14,0,-,-,33.3,33.33
R Shepherd,SRH,"Punjab Kings v Sunrisers Hyderabad at Mumbai, Tata IPL, 22 May 2022",19,2022-2022,1,1,6,3,12,0,-,-,0,33.33
MS Washington Sundar,SRH,"Punjab Kings v Sunrisers Hyderabad at Mumbai, Tata IPL, 22 May 2022",19,2022-2022,1,1,6,3,12,0,-,-,0,33.33
R Shepherd,SRH,"Punjab Kings v Sunrisers Hyderabad at Mumbai, Tata IPL, 22 May 2022",18,2022-2022,1,1,0,1,0,0,-,-,100,0
MS Washington Sundar,SRH,"Punjab Kings v Sunrisers Hyderabad at Mumbai, Tata IPL, 22 May 2022",18,2022-2022,1,1,12,5,14.4,0,-,-,20,40
R Shepherd,SRH,"Punjab Kings v Sunrisers Hyderabad at Mumbai, Tata IPL, 22 May 2022",17,2022-2022,1,1,12,3,24,0,-,-,0,66.66
MS Washington Sundar,SRH,"Punjab Kings v Sunrisers Hyderabad at Mumbai, Tata IPL, 22 May 2022",17,2022-2022,1,1,4,3,8,0,-,-,66.6,33.33
R Shepherd,SRH,"Punjab Kings v Sunrisers Hyderabad at Mumbai, Tata IPL, 22 May 2022",16,2022-2022,1,1,1,3,2,0,-,-,66.6,0
MS Washington Sundar,SRH,"Punjab Kings v Sunrisers Hyderabad at Mumbai, Tata IPL, 22 May 2022",16,2022-2022,1,1,2,3,4,0,-,-,33.3,0
R Shepherd,SRH,"Punjab Kings v Sunrisers Hyderabad at Mumbai, Tata IPL, 22 May 2022",15,2022-2022,1,1,0,2,0,0,-,-,100,0
AK Markram,SRH,"Punjab Kings v Sunrisers Hyderabad at Mumbai, Tata IPL, 22 May 2022",15,2022-2022,1,1,6,4,9,1,6,4,50,25
MS Washington Sundar,SRH,"Punjab Kings v Sunrisers Hyderabad at Mumbai, Tata IPL, 22 May 2022",14,2022-2022,1,1,1,4,1.5,0,-,-,75,0
AK Markram,SRH,"Punjab Kings v Sunrisers Hyderabad at Mumbai, Tata IPL, 22 May 2022",14,2022-2022,1,1,2,2,6,0,-,-,0,0
N Pooran,SRH,"Punjab Kings v Sunrisers Hyderabad at Mumbai, Tata IPL, 22 May 2022",13,2022-2022,1,1,1,4,1.5,1,1,4,75,0
AK Markram,SRH,"Punjab Kings v Sunrisers Hyderabad at Mumbai, Tata IPL, 22 May 2022",13,2022-2022,1,1,2,2,6,0,-,-,0,0
AK Markram,SRH,"Punjab Kings v Sunrisers Hyderabad at Mumbai, Tata IPL, 22 May 2022",12,2022-2022,1,1,2,2,6,0,-,-,0,0
N Pooran,SRH,"Punjab Kings v Sunrisers Hyderabad at Mumbai, Tata IPL, 22 May 2022",12,2022-2022,1,1,1,3,2,0,-,-,66.6,0
N Pooran,SRH,"Punjab Kings v Sunrisers Hyderabad at Mumbai, Tata IPL, 22 May 2022",11,2022-2022,1,1,2,2,6,0,-,-,0,0
A Sharma,SRH,"Punjab Kings v Sunrisers Hyderabad at Mumbai, Tata IPL, 22 May 2022",11,2022-2022,1,1,0,1,0,1,0,1,100,0
AK Markram,SRH,"Punjab Kings v Sunrisers Hyderabad at Mumbai, Tata IPL, 22 May 2022",11,2022-2022,1,1,6,3,12,0,-,-,0,33.33
A Sharma,SRH,"Punjab Kings v Sunrisers Hyderabad at Mumbai, Tata IPL, 22 May 2022",10,2022-2022,1,1,7,4,10.5,0,-,-,50,25
AK Markram,SRH,"Punjab Kings v Sunrisers Hyderabad at Mumbai, Tata IPL, 22 May 2022",10,2022-2022,1,1,2,2,6,0,-,-,0,0
A Sharma,SRH,"Punjab Kings v Sunrisers Hyderabad at Mumbai, Tata IPL, 22 May 2022",9,2022-2022,1,1,0,1,0,0,-,-,100,0
AK Markram,SRH,"Punjab Kings v Sunrisers Hyderabad at Mumbai, Tata IPL, 22 May 2022",9,2022-2022,1,1,1,2,3,0,-,-,50,0
RA Tripathi,SRH,"Punjab Kings v Sunrisers Hyderabad at Mumbai, Tata IPL, 22 May 2022",9,2022-2022,1,1,2,3,4,1,2,3,66.6,0
A Sharma,SRH,"Punjab Kings v Sunrisers Hyderabad at Mumbai, Tata IPL, 22 May 2022",8,2022-2022,1,1,4,3,8,0,-,-,0,0
RA Tripathi,SRH,"Punjab Kings v Sunrisers Hyderabad at Mumbai, Tata IPL, 22 May 2022",8,2022-2022,1,1,3,3,6,0,-,-,0,0
A Sharma,SRH,"Punjab Kings v Sunrisers Hyderabad at Mumbai, Tata IPL, 22 May 2022",7,2022-2022,1,1,7,4,10.5,0,-,-,50,25
RA Tripathi,SRH,"Punjab Kings v Sunrisers Hyderabad at Mumbai, Tata IPL, 22 May 2022",7,2022-2022,1,1,2,2,6,0,-,-,0,0
A Sharma,SRH,"Punjab Kings v Sunrisers Hyderabad at Mumbai, Tata IPL, 22 May 2022",6,2022-2022,1,1,4,1,24,0,-,-,0,100
RA Tripathi,SRH,"Punjab Kings v Sunrisers Hyderabad at Mumbai, Tata IPL, 22 May 2022",6,2022-2022,1,1,7,5,8.4,0,-,-,60,20
A Sharma,SRH,"Punjab Kings v Sunrisers Hyderabad at Mumbai, Tata IPL, 22 May 2022",5,2022-2022,1,1,5,3,10,0,-,-,33.3,33.33
RA Tripathi,SRH,"Punjab Kings v Sunrisers Hyderabad at Mumbai, Tata IPL, 22 May 2022",5,2022-2022,1,1,2,3,4,0,-,-,33.3,0
A Sharma,SRH,"Punjab Kings v Sunrisers Hyderabad at Mumbai, Tata IPL, 22 May 2022",4,2022-2022,1,1,6,6,6,0,-,-,66.6,16.66
RA Tripathi,SRH,"Punjab Kings v Sunrisers Hyderabad at Mumbai, Tata IPL, 22 May 2022",3,2022-2022,1,1,4,2,12,0,-,-,50,50
PK Garg,SRH,"Punjab Kings v Sunrisers Hyderabad at Mumbai, Tata IPL, 22 May 2022",3,2022-2022,1,1,0,2,0,1,0,2,100,0
A Sharma,SRH,"Punjab Kings v Sunrisers Hyderabad at Mumbai, Tata IPL, 22 May 2022",3,2022-2022,1,1,5,2,15,0,-,-,0,50
A Sharma,SRH,"Punjab Kings v Sunrisers Hyderabad at Mumbai, Tata IPL, 22 May 2022",2,2022-2022,1,1,1,2,3,0,-,-,50,0
PK Garg,SRH,"Punjab Kings v Sunrisers Hyderabad at Mumbai, Tata IPL, 22 May 2022",2,2022-2022,1,1,3,4,4.5,0,-,-,50,0
A Sharma,SRH,"Punjab Kings v Sunrisers Hyderabad at Mumbai, Tata IPL, 22 May 2022",1,2022-2022,1,1,4,5,4.8,0,-,-,80,20
PK Garg,SRH,"Punjab Kings v Sunrisers Hyderabad at Mumbai, Tata IPL, 22 May 2022",1,2022-2022,1,1,1,1,6,0,-,-,0,0
Ramandeep Singh,MI,"Mumbai Indians v Delhi Capitals at Mumbai, Tata IPL, 21 May 2022",20,2022-2022,1,1,4,2,12,0,-,-,50,50
DR Sams,MI,"Mumbai Indians v Delhi Capitals at Mumbai, Tata IPL, 21 May 2022",19,2022-2022,1,1,0,1,0,0,-,-,100,0
NT Tilak Varma,MI,"Mumbai Indians v Delhi Capitals at Mumbai, Tata IPL, 21 May 2022",19,2022-2022,1,1,1,2,3,1,1,2,50,0
Ramandeep Singh,MI,"Mumbai Indians v Delhi Capitals at Mumbai, Tata IPL, 21 May 2022",19,2022-2022,1,1,8,3,16,0,-,-,0,33.33
Ramandeep Singh,MI,"Mumbai Indians v Delhi Capitals at Mumbai, Tata IPL, 21 May 2022",18,2022-2022,1,1,1,1,6,0,-,-,0,0
TH David,MI,"Mumbai Indians v Delhi Capitals at Mumbai, Tata IPL, 21 May 2022",18,2022-2022,1,1,12,3,24,1,12,3,33.3,66.66
NT Tilak Varma,MI,"Mumbai Indians v Delhi Capitals at Mumbai, Tata IPL, 21 May 2022",18,2022-2022,1,1,1,2,3,0,-,-,50,0
TH David,MI,"Mumbai Indians v Delhi Capitals at Mumbai, Tata IPL, 21 May 2022",17,2022-2022,1,1,11,3,22,0,-,-,0,66.66
NT Tilak Varma,MI,"Mumbai Indians v Delhi Capitals at Mumbai, Tata IPL, 21 May 2022",17,2022-2022,1,1,6,3,12,0,-,-,0,33.33
TH David,MI,"Mumbai Indians v Delhi Capitals at Mumbai, Tata IPL, 21 May 2022",16,2022-2022,1,1,5,2,15,0,-,-,0,50
NT Tilak Varma,MI,"Mumbai Indians v Delhi Capitals at Mumbai, Tata IPL, 21 May 2022",16,2022-2022,1,1,7,4,10.5,0,-,-,50,25
TH David,MI,"Mumbai Indians v Delhi Capitals at Mumbai, Tata IPL, 21 May 2022",15,2022-2022,1,1,6,3,12,0,-,-,66.6,33.33
NT Tilak Varma,MI,"Mumbai Indians v Delhi Capitals at Mumbai, Tata IPL, 21 May 2022",15,2022-2022,1,1,1,1,6,0,-,-,0,0
DT Brevis,MI,"Mumbai Indians v Delhi Capitals at Mumbai, Tata IPL, 21 May 2022",15,2022-2022,1,1,1,2,3,1,1,2,50,0
DT Brevis,MI,"Mumbai Indians v Delhi Capitals at Mumbai, Tata IPL, 21 May 2022",14,2022-2022,1,1,2,4,3,0,-,-,50,0
NT Tilak Varma,MI,"Mumbai Indians v Delhi Capitals at Mumbai, Tata IPL, 21 May 2022",14,2022-2022,1,1,2,2,6,0,-,-,0,0
NT Tilak Varma,MI,"Mumbai Indians v Delhi Capitals at Mumbai, Tata IPL, 21 May 2022",13,2022-2022,1,1,2,2,6,0,-,-,0,0
DT Brevis,MI,"Mumbai Indians v Delhi Capitals at Mumbai, Tata IPL, 21 May 2022",13,2022-2022,1,1,8,4,12,0,-,-,25,25
NT Tilak Varma,MI,"Mumbai Indians v Delhi Capitals at Mumbai, Tata IPL, 21 May 2022",12,2022-2022,1,1,1,1,6,0,-,-,0,0
DT Brevis,MI,"Mumbai Indians v Delhi Capitals at Mumbai, Tata IPL, 21 May 2022",12,2022-2022,1,1,2,3,4,0,-,-,33.3,0
IP Kishan,MI,"Mumbai Indians v Delhi Capitals at Mumbai, Tata IPL, 21 May 2022",12,2022-2022,1,1,1,2,3,1,1,2,50,0
IP Kishan,MI,"Mumbai Indians v Delhi Capitals at Mumbai, Tata IPL, 21 May 2022",11,2022-2022,1,1,10,4,15,0,-,-,0,25
DT Brevis,MI,"Mumbai Indians v Delhi Capitals at Mumbai, Tata IPL, 21 May 2022",11,2022-2022,1,1,2,2,6,0,-,-,0,0
DT Brevis,MI,"Mumbai Indians v Delhi Capitals at Mumbai, Tata IPL, 21 May 2022",10,2022-2022,1,1,11,3,22,0,-,-,0,66.66
IP Kishan,MI,"Mumbai Indians v Delhi Capitals at Mumbai, Tata IPL, 21 May 2022",10,2022-2022,1,1,7,3,14,0,-,-,33.3,33.33
IP Kishan,MI,"Mumbai Indians v Delhi Capitals at Mumbai, Tata IPL, 21 May 2022",9,2022-2022,1,1,2,2,6,0,-,-,0,0
DT Brevis,MI,"Mumbai Indians v Delhi Capitals at Mumbai, Tata IPL, 21 May 2022",9,2022-2022,1,1,2,4,3,0,-,-,50,0
DT Brevis,MI,"Mumbai Indians v Delhi Capitals at Mumbai, Tata IPL, 21 May 2022",8,2022-2022,1,1,7,6,7,0,-,-,66.6,16.66
DT Brevis,MI,"Mumbai Indians v Delhi Capitals at Mumbai, Tata IPL, 21 May 2022",7,2022-2022,1,1,1,2,3,0,-,-,50,0
IP Kishan,MI,"Mumbai Indians v Delhi Capitals at Mumbai, Tata IPL, 21 May 2022",7,2022-2022,1,1,5,4,7.5,0,-,-,50,25
IP Kishan,MI,"Mumbai Indians v Delhi Capitals at Mumbai, Tata IPL, 21 May 2022",6,2022-2022,1,1,1,1,6,0,-,-,0,0
DT Brevis,MI,"Mumbai Indians v Delhi Capitals at Mumbai, Tata IPL, 21 May 2022",6,2022-2022,1,1,1,3,2,0,-,-,66.6,0
RG Sharma,MI,"Mumbai Indians v Delhi Capitals at Mumbai, Tata IPL, 21 May 2022",6,2022-2022,1,1,0,2,0,1,0,2,100,0
IP Kishan,MI,"Mumbai Indians v Delhi Capitals at Mumbai, Tata IPL, 21 May 2022",5,2022-2022,1,1,0,5,0,0,-,-,100,0
RG Sharma,MI,"Mumbai Indians v Delhi Capitals at Mumbai, Tata IPL, 21 May 2022",5,2022-2022,1,1,1,1,6,0,-,-,0,0
RG Sharma,MI,"Mumbai Indians v Delhi Capitals at Mumbai, Tata IPL, 21 May 2022",4,2022-2022,1,1,1,2,3,0,-,-,50,0
IP Kishan,MI,"Mumbai Indians v Delhi Capitals at Mumbai, Tata IPL, 21 May 2022",4,2022-2022,1,1,7,4,10.5,0,-,-,50,25
RG Sharma,MI,"Mumbai Indians v Delhi Capitals at Mumbai, Tata IPL, 21 May 2022",3,2022-2022,1,1,0,6,0,0,-,-,100,0
IP Kishan,MI,"Mumbai Indians v Delhi Capitals at Mumbai, Tata IPL, 21 May 2022",2,2022-2022,1,1,14,6,14,0,-,-,50,50
RG Sharma,MI,"Mumbai Indians v Delhi Capitals at Mumbai, Tata IPL, 21 May 2022",1,2022-2022,1,1,0,2,0,0,-,-,100,0
IP Kishan,MI,"Mumbai Indians v Delhi Capitals at Mumbai, Tata IPL, 21 May 2022",1,2022-2022,1,1,1,4,1.5,0,-,-,75,0
AR Patel,DC,"Mumbai Indians v Delhi Capitals at Mumbai, Tata IPL, 21 May 2022",20,2022-2022,1,1,6,2,18,0,-,-,50,50
K Yadav,DC,"Mumbai Indians v Delhi Capitals at Mumbai, Tata IPL, 21 May 2022",20,2022-2022,1,1,1,1,6,0,-,-,0,0
SN Thakur,DC,"Mumbai Indians v Delhi Capitals at Mumbai, Tata IPL, 21 May 2022",20,2022-2022,1,1,2,3,4,1,2,3,66.6,0
SN Thakur,DC,"Mumbai Indians v Delhi Capitals at Mumbai, Tata IPL, 21 May 2022",19,2022-2022,1,1,2,2,6,0,-,-,0,0
R Powell,DC,"Mumbai Indians v Delhi Capitals at Mumbai, Tata IPL, 21 May 2022",19,2022-2022,1,1,0,1,0,1,0,1,100,0
AR Patel,DC,"Mumbai Indians v Delhi Capitals at Mumbai, Tata IPL, 21 May 2022",19,2022-2022,1,1,4,3,8,0,-,-,0,0
R Powell,DC,"Mumbai Indians v Delhi Capitals at Mumbai, Tata IPL, 21 May 2022",18,2022-2022,1,1,1,3,2,0,-,-,66.6,0
AR Patel,DC,"Mumbai Indians v Delhi Capitals at Mumbai, Tata IPL, 21 May 2022",18,2022-2022,1,1,8,3,16,0,-,-,0,33.33
AR Patel,DC,"Mumbai Indians v Delhi Capitals at Mumbai, Tata IPL, 21 May 2022",17,2022-2022,1,1,1,2,3,0,-,-,50,0
R Powell,DC,"Mumbai Indians v Delhi Capitals at Mumbai, Tata IPL, 21 May 2022",17,2022-2022,1,1,7,4,10.5,0,-,-,50,25
R Powell,DC,"Mumbai Indians v Delhi Capitals at Mumbai, Tata IPL, 21 May 2022",16,2022-2022,1,1,1,1,6,0,-,-,0,0
RR Pant,DC,"Mumbai Indians v Delhi Capitals at Mumbai, Tata IPL, 21 May 2022",16,2022-2022,1,1,15,5,18,1,15,5,20,60
RR Pant,DC,"Mumbai Indians v Delhi Capitals at Mumbai, Tata IPL, 21 May 2022",15,2022-2022,1,1,2,2,6,0,-,-,0,0
R Powell,DC,"Mumbai Indians v Delhi Capitals at Mumbai, Tata IPL, 21 May 2022",15,2022-2022,1,1,4,4,6,0,-,-,25,0
RR Pant,DC,"Mumbai Indians v Delhi Capitals at Mumbai, Tata IPL, 21 May 2022",14,2022-2022,1,1,0,3,0,0,-,-,100,0
R Powell,DC,"Mumbai Indians v Delhi Capitals at Mumbai, Tata IPL, 21 May 2022",14,2022-2022,1,1,1,3,2,0,-,-,66.6,0
RR Pant,DC,"Mumbai Indians v Delhi Capitals at Mumbai, Tata IPL, 21 May 2022",13,2022-2022,1,1,1,1,6,0,-,-,0,0
R Powell,DC,"Mumbai Indians v Delhi Capitals at Mumbai, Tata IPL, 21 May 2022",13,2022-2022,1,1,8,5,9.6,0,-,-,40,20
R Powell,DC,"Mumbai Indians v Delhi Capitals at Mumbai, Tata IPL, 21 May 2022",12,2022-2022,1,1,17,5,20.4,0,-,-,20,60
RR Pant,DC,"Mumbai Indians v Delhi Capitals at Mumbai, Tata IPL, 21 May 2022",12,2022-2022,1,1,1,1,6,0,-,-,0,0
R Powell,DC,"Mumbai Indians v Delhi Capitals at Mumbai, Tata IPL, 21 May 2022",11,2022-2022,1,1,1,2,3,0,-,-,50,0
RR Pant,DC,"Mumbai Indians v Delhi Capitals at Mumbai, Tata IPL, 21 May 2022",11,2022-2022,1,1,8,4,12,0,-,-,0,25
R Powell,DC,"Mumbai Indians v Delhi Capitals at Mumbai, Tata IPL, 21 May 2022",10,2022-2022,1,1,1,4,1.5,0,-,-,75,0
RR Pant,DC,"Mumbai Indians v Delhi Capitals at Mumbai, Tata IPL, 21 May 2022",10,2022-2022,1,1,2,2,6,0,-,-,0,0
R Powell,DC,"Mumbai Indians v Delhi Capitals at Mumbai, Tata IPL, 21 May 2022",9,2022-2022,1,1,2,2,6,0,-,-,50,0
RR Pant,DC,"Mumbai Indians v Delhi Capitals at Mumbai, Tata IPL, 21 May 2022",9,2022-2022,1,1,1,2,3,0,-,-,50,0
SN Khan,DC,"Mumbai Indians v Delhi Capitals at Mumbai, Tata IPL, 21 May 2022",9,2022-2022,1,1,1,2,3,1,1,2,50,0
RR Pant,DC,"Mumbai Indians v Delhi Capitals at Mumbai, Tata IPL, 21 May 2022",8,2022-2022,1,1,5,4,7.5,0,-,-,50,25
SN Khan,DC,"Mumbai Indians v Delhi Capitals at Mumbai, Tata IPL, 21 May 2022",8,2022-2022,1,1,2,2,6,0,-,-,0,0
SN Khan,DC,"Mumbai Indians v Delhi Capitals at Mumbai, Tata IPL, 21 May 2022",7,2022-2022,1,1,1,1,6,0,-,-,0,0
RR Pant,DC,"Mumbai Indians v Delhi Capitals at Mumbai, Tata IPL, 21 May 2022",7,2022-2022,1,1,3,5,3.6,0,-,-,60,0
SN Khan,DC,"Mumbai Indians v Delhi Capitals at Mumbai, Tata IPL, 21 May 2022",6,2022-2022,1,1,6,2,18,0,-,-,50,50
PP Shaw,DC,"Mumbai Indians v Delhi Capitals at Mumbai, Tata IPL, 21 May 2022",6,2022-2022,1,1,2,4,3,1,2,4,75,0
RR Pant,DC,"Mumbai Indians v Delhi Capitals at Mumbai, Tata IPL, 21 May 2022",5,2022-2022,1,1,0,3,0,0,-,-,100,0
PP Shaw,DC,"Mumbai Indians v Delhi Capitals at Mumbai, Tata IPL, 21 May 2022",5,2022-2022,1,1,5,3,10,0,-,-,33.3,33.33
RR Pant,DC,"Mumbai Indians v Delhi Capitals at Mumbai, Tata IPL, 21 May 2022",4,2022-2022,1,1,1,1,6,0,-,-,0,0
MR Marsh,DC,"Mumbai Indians v Delhi Capitals at Mumbai, Tata IPL, 21 May 2022",4,2022-2022,1,1,0,1,0,1,0,1,100,0
PP Shaw,DC,"Mumbai Indians v Delhi Capitals at Mumbai, Tata IPL, 21 May 2022",4,2022-2022,1,1,2,4,3,0,-,-,50,0
DA Warner,DC,"Mumbai Indians v Delhi Capitals at Mumbai, Tata IPL, 21 May 2022",3,2022-2022,1,1,0,2,0,1,0,2,100,0
PP Shaw,DC,"Mumbai Indians v Delhi Capitals at Mumbai, Tata IPL, 21 May 2022",3,2022-2022,1,1,8,4,12,0,-,-,25,25
PP Shaw,DC,"Mumbai Indians v Delhi Capitals at Mumbai, Tata IPL, 21 May 2022",2,2022-2022,1,1,1,2,3,0,-,-,50,0
DA Warner,DC,"Mumbai Indians v Delhi Capitals at Mumbai, Tata IPL, 21 May 2022",2,2022-2022,1,1,5,4,7.5,0,-,-,50,25
PP Shaw,DC,"Mumbai Indians v Delhi Capitals at Mumbai, Tata IPL, 21 May 2022",1,2022-2022,1,1,6,6,6,0,-,-,66.6,16.66
R Ashwin,RR,"Chennai Super Kings v Rajasthan Royals at Mumbai (BS), Tata IPL, 20 May 2022",20,2022-2022,1,1,5,2,15,0,-,-,0,50
RP Das,RR,"Chennai Super Kings v Rajasthan Royals at Mumbai (BS), Tata IPL, 20 May 2022",20,2022-2022,1,1,0,2,0,0,-,-,100,0
RP Das,RR,"Chennai Super Kings v Rajasthan Royals at Mumbai (BS), Tata IPL, 20 May 2022",19,2022-2022,1,1,2,2,6,0,-,-,0,0
R Ashwin,RR,"Chennai Super Kings v Rajasthan Royals at Mumbai (BS), Tata IPL, 20 May 2022",19,2022-2022,1,1,10,4,15,0,-,-,0,25
R Ashwin,RR,"Chennai Super Kings v Rajasthan Royals at Mumbai (BS), Tata IPL, 20 May 2022",18,2022-2022,1,1,4,2,12,0,-,-,50,50
RP Das,RR,"Chennai Super Kings v Rajasthan Royals at Mumbai (BS), Tata IPL, 20 May 2022",18,2022-2022,1,1,7,4,10.5,0,-,-,25,25
R Ashwin,RR,"Chennai Super Kings v Rajasthan Royals at Mumbai (BS), Tata IPL, 20 May 2022",17,2022-2022,1,1,6,2,18,0,-,-,50,50
