Player,Team,Match,Year,Innings,Chase_Target,Entry_Over,Exit_Over,Runs,BF,Dots,Fours,Sixes,Entry_RR_Required,Entry_Runs_Required,Entry_Balls_Remaining,Exit_RR_Required,Exit_Runs_Required,Exit_Balls_Remaining,Strike_Rate,Dot_Pct,Bnd_Pct,Overs_Played,Innings_Duration,Team_RRR_Impact,Pct_of_Runs_Remaining,Contribution_Per_Over,Pct_of_Target,Required_Runs_For_Balls,Contribution_Pct,Impact_Runs,Player_Run_Rate,Entry_Phase,Final_Strike_Rate
A Porel,Delhi Capitals,LAT20 # 13514,2024,1st,90.0,3.0,4,15,7,48,15,14,3.44,58.0,101,1.66,25.0,90,214.28571428571428,685.7142857142857,414.28571428571433,1.2,2.0,1.78,25.862068965517242,12.857142857142856,16.666666666666664,4.013333333333333,373.7541528239203,10.986666666666668,12.857142857142858,Powerplay,214.28571428571428
A Porel,Delhi Capitals,LAT20 # 13526,2024,1st,267.0,3.0,8,42,22,52,29,9,12.59,212.0,101,11.64,132.0,68,190.9090909090909,236.36363636363637,172.72727272727272,3.7,6.0,0.9499999999999993,19.81132075471698,11.454545454545455,15.730337078651685,46.163333333333334,90.9812982886851,-4.163333333333334,11.454545454545455,Powerplay,190.9090909090909
A Porel,Delhi Capitals,LAT20 # 13545,2024,2nd,,1.0,9,36,27,67,53,30,,,111,,,62,133.33333333333331,248.14814814814815,307.4074074074074,4.5,9.0,,0.0,8.0,0.0,,0.0,0.0,7.999999999999998,Powerplay,133.33333333333331
A Porel,Delhi Capitals,LAT20 # 13552,2024,2nd,,1.0,6,18,15,43,15,8,,,111,,,80,120.0,286.6666666666667,153.33333333333334,2.5,6.0,,0.0,7.2,0.0,,0.0,0.0,7.199999999999999,Powerplay,120.0
A Porel,Delhi Capitals,LAT20 # 13593,2024,2nd,,1.0,12,65,36,73,49,28,,,113,,,44,180.55555555555557,202.77777777777777,213.88888888888889,6.0,12.0,,0.0,10.833333333333334,0.0,,0.0,0.0,10.833333333333336,Powerplay,180.55555555555557
A Porel,Delhi Capitals,LAT20 # 14967,2025,1st,164.0,9.0,15,34,18,81,31,22,7.68,82.0,64,,0.0,24,188.88888888888889,450.0,294.44444444444446,3.0,7.0,,41.46341463414634,11.333333333333334,20.73170731707317,23.040000000000003,147.56944444444443,10.959999999999997,11.333333333333332,Middle,188.88888888888889
A Porel,Delhi Capitals,LAT20 # 14985,2025,1st,164.0,2.0,4,7,7,49,13,0,8.56,147.0,103,8.64,134.0,93,100.0,700.0,185.71428571428572,1.2,3.0,-0.08000000000000007,4.761904761904762,6.0,4.2682926829268295,9.986666666666666,70.09345794392523,-2.9866666666666664,6.0,Powerplay,100.0
A Porel,Delhi Capitals,LAT20 # 15094,2025,2nd,,3.0,11,30,19,61,8,13,,,99,,,48,157.89473684210526,321.0526315789474,110.5263157894737,3.2,9.0,,0.0,9.473684210526317,0.0,,0.0,0.0,9.473684210526315,Powerplay,157.89473684210526
A Porel,Delhi Capitals,LAT20 # 15100,2025,1st,181.0,1.0,4,6,9,30,3,0,9.3,169.0,109,9.82,154.0,94,66.66666666666666,333.33333333333337,33.33333333333333,1.5,4.0,-0.5199999999999996,3.5502958579881656,4.0,3.314917127071823,13.950000000000001,43.01075268817204,-7.950000000000001,3.999999999999999,Powerplay,66.66666666666666
A Raghuvanshi,Kolkata Knight Riders,LAT20 # 13446,2024,2nd,,4.0,13,54,27,50,41,16,,,92,,,40,200.0,185.1851851851852,211.11111111111111,4.5,10.0,,0.0,12.0,0.0,,0.0,0.0,12.0,Powerplay,200.0
A Raghuvanshi,Kolkata Knight Riders,LAT20 # 13494,2024,1st,162.0,1.0,3,7,6,22,6,2,7.63,140.0,110,7.12,120.0,101,116.66666666666667,366.66666666666663,133.33333333333331,1.0,3.0,0.5099999999999998,5.0,7.0,4.320987654320987,7.63,91.74311926605505,-0.6299999999999999,7.0,Powerplay,116.66666666666667
A Raghuvanshi,Kolkata Knight Riders,LAT20 # 13508,2024,2nd,,3.0,10,30,18,55,26,1,,,98,,,56,166.66666666666669,305.55555555555554,150.0,3.0,8.0,,0.0,10.0,0.0,,0.0,0.0,10.000000000000002,Powerplay,166.66666666666669
A Raghuvanshi,Kolkata Knight Riders,LAT20 # 13529,2024,2nd,,4.0,5,3,4,31,11,2,,,93,,,84,75.0,775.0,325.0,0.7,2.0,,0.0,4.5,0.0,,0.0,0.0,4.5,Powerplay,75.0
A Raghuvanshi,Kolkata Knight Riders,LAT20 # 13584,2024,2nd,,4.0,15,32,26,88,41,12,,,93,,,29,123.07692307692308,338.46153846153845,203.84615384615384,4.3,12.0,,0.0,7.384615384615385,0.0,,0.0,0.0,7.384615384615385,Powerplay,123.07692307692308
A Raghuvanshi,Kolkata Knight Riders,LAT20 # 14937,2025,2nd,,10.0,18,30,22,119,48,19,,,56,,,7,136.36363636363635,540.9090909090909,304.54545454545456,3.7,9.0,,0.0,8.181818181818182,0.0,,0.0,0.0,8.181818181818182,Middle,136.36363636363635
A Raghuvanshi,Kolkata Knight Riders,LAT20 # 14955,2025,1st,152.0,10.0,16,22,17,60,24,9,8.37,81.0,58,7.26,23.0,19,129.41176470588235,352.94117647058823,194.11764705882354,2.8,7.0,1.1099999999999994,27.160493827160494,7.764705882352941,14.473684210526317,23.715,92.76829011174362,-1.7149999999999999,7.76470588235294,Middle,129.41176470588235
A Raghuvanshi,Kolkata Knight Riders,LAT20 # 14969,2025,2nd,,1.0,6,26,16,51,13,6,,,112,,,78,162.5,318.75,118.75,2.7,6.0,,0.0,9.75,0.0,,0.0,0.0,9.75,Powerplay,162.5
A Raghuvanshi,Kolkata Knight Riders,LAT20 # 14972,2025,2nd,,2.0,12,50,32,127,21,21,,,104,,,44,156.25,396.875,131.25,5.3,11.0,,0.0,9.375,0.0,,0.0,0.0,9.375,Powerplay,156.25
A Raghuvanshi,Kolkata Knight Riders,LAT20 # 14978,2025,1st,239.0,14.0,14,5,4,24,10,8,12.52,71.0,34,13.2,66.0,30,125.0,600.0,450.0,0.7,1.0,-0.6799999999999997,7.042253521126761,7.5,2.092050209205021,8.346666666666666,59.9041533546326,-3.346666666666666,7.5,Middle,125.0
A Raghuvanshi,Kolkata Knight Riders,LAT20 # 15001,2025,1st,112.0,1.0,9,37,28,92,32,6,5.45,101.0,111,3.69,40.0,65,132.14285714285714,328.57142857142856,135.71428571428572,4.7,9.0,1.7600000000000002,36.633663366336634,7.928571428571428,33.035714285714285,25.433333333333334,145.478374836173,11.566666666666666,7.928571428571429,Powerplay,132.14285714285714
A Raghuvanshi,Kolkata Knight Riders,LAT20 # 15025,2025,1st,199.0,16.0,19,27,13,126,34,8,22.8,76.0,20,,40.0,0,207.6923076923077,969.2307692307692,323.0769230769231,2.2,4.0,,35.526315789473685,12.461538461538462,13.5678391959799,49.400000000000006,54.65587044534412,-22.400000000000006,12.461538461538463,Death,207.6923076923077
A Raghuvanshi,Kolkata Knight Riders,LAT20 # 15060,2025,2nd,,6.0,16,44,32,103,51,21,,,79,,,19,137.5,321.875,225.0,5.3,11.0,,0.0,8.25,0.0,,0.0,0.0,8.25,Powerplay,137.5
A Raghuvanshi,Kolkata Knight Riders,LAT20 # 15074,2025,2nd,,7.0,18,44,31,112,51,9,,,74,,,11,141.93548387096774,361.2903225806451,193.5483870967742,5.2,12.0,,0.0,8.516129032258064,0.0,,0.0,0.0,8.516129032258064,Middle,141.93548387096774
A Raghuvanshi,Kolkata Knight Riders,LAT20 # 15081,2025,2nd,,7.0,7,1,2,3,0,0,,,76,,,74,50.0,150.0,0.0,0.3,1.0,,0.0,3.0,0.0,,0.0,0.0,3.0,Middle,50.0
A Raghuvanshi,Kolkata Knight Riders,LAT20 # 15109,2025,1st,279.0,5.0,12,14,18,71,12,6,15.34,220.0,86,24.0,184.0,46,77.77777777777779,394.44444444444446,100.0,3.0,8.0,-8.66,6.363636363636363,4.666666666666667,5.017921146953405,46.02,30.421555845284658,-32.02,4.666666666666668,Powerplay,77.77777777777779
A Rawat,Royal Chal Bengaluru,LAT20 # 13401,2024,2nd,,11.0,19,48,25,204,64,20,,,51,,,2,192.0,816.0,336.0,4.2,9.0,,0.0,11.52,0.0,,0.0,0.0,11.52,Middle,192.0
A Rawat,Royal Chal Bengaluru,LAT20 # 13416,2024,1st,177.0,12.0,16,11,14,128,21,1,9.52,73.0,46,12.81,47.0,22,78.57142857142857,914.2857142857142,157.14285714285714,2.3,5.0,-3.290000000000001,15.068493150684931,4.714285714285714,6.214689265536723,22.213333333333335,49.51980792316926,-11.213333333333335,4.714285714285714,Middle,78.57142857142857
A Rawat,Royal Chal Bengaluru,LAT20 # 13428,2024,2nd,,16.0,17,3,3,23,2,4,,,20,,,15,100.0,766.6666666666667,200.0,0.5,2.0,,0.0,6.0,0.0,,0.0,0.0,6.0,Death,100.0
A Rawat,Royal Chal Bengaluru,LAT20 # 13444,2024,1st,182.0,7.0,12,11,21,95,16,5,10.19,124.0,73,12.27,88.0,43,52.38095238095239,452.38095238095235,100.0,3.5,6.0,-2.08,8.870967741935484,3.142857142857143,6.043956043956044,35.665,30.84256273657648,-24.665,3.1428571428571432,Middle,52.38095238095239
A Rawat,Royal Chal Bengaluru,LAT20 # 13505,2024,1st,288.0,14.0,19,25,14,92,75,22,18.88,107.0,34,,26.0,0,178.57142857142858,657.1428571428571,692.8571428571429,2.3,6.0,,23.364485981308412,10.714285714285714,8.680555555555555,44.053333333333335,56.74939467312349,-19.053333333333335,10.714285714285715,Middle,178.57142857142858
A Samad,Lucknow Super Giants,LAT20 # 14958,2025,1st,191.0,14.0,15,22,8,15,22,13,4.58,26.0,34,0.5,2.0,24,275.0,187.5,437.5,1.3,2.0,4.08,84.61538461538461,16.5,11.518324607329843,6.1066666666666665,360.2620087336245,15.893333333333334,16.5,Middle,275.0
A Samad,Lucknow Super Giants,LAT20 # 14970,2025,2nd,,15.0,19,27,12,84,39,17,,,24,,,2,225.0,700.0,466.6666666666667,2.0,5.0,,0.0,13.5,0.0,,0.0,0.0,13.5,Middle,225.0
A Samad,Lucknow Super Giants,LAT20 # 14973,2025,2nd,,17.0,18,4,2,16,4,2,,,12,,,9,200.0,800.0,300.0,0.3,2.0,,0.0,12.0,0.0,,0.0,0.0,12.0,Death,200.0
A Samad,Lucknow Super Giants,LAT20 # 14978,2025,2nd,,15.0,18,6,4,10,8,12,,,27,,,10,150.0,250.0,500.0,0.7,4.0,,0.0,9.0,0.0,,0.0,0.0,9.0,Middle,150.0
